song id,genre id,song title,song artist,uri
45,1,You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",
46,1,Santa Claus Is Coming to Town,Michael Bublé,https://p.scdn.co/mp3-preview/bd010602753203f389e32bd1c7bec2a88c020aa8?cid=9950ac751e34487dbbe027c4fd7f8e99
47,1,Baby It's Cold Outside (duet with Michael Bublé),"Idina Menzel, Michael Bublé",https://p.scdn.co/mp3-preview/910681d905ad71b3356c7896fafe0d65d7011a88?cid=9950ac751e34487dbbe027c4fd7f8e99
48,1,Christmas (Baby Please Come Home),Darlene Love,https://p.scdn.co/mp3-preview/11b05740be41488755647b1c7a46082f9b3d0a65?cid=9950ac751e34487dbbe027c4fd7f8e99
49,1,A Holly Jolly Christmas,Brett Eldredge,https://p.scdn.co/mp3-preview/11ced53b4ded9531f176be947fb8a46fce112ffe?cid=9950ac751e34487dbbe027c4fd7f8e99
50,1,"Merry Christmas, Happy Holidays",*NSYNC,
51,1,White Christmas,"Bing Crosby, Ken Darby Singers, John Scott Trotter & His Orchestra",https://p.scdn.co/mp3-preview/2a1ea2e4263c017e3fc02734d334759d06f0f77d?cid=9950ac751e34487dbbe027c4fd7f8e99
52,1,It's Beginning To Look A Lot Like Christmas,Bing Crosby,
53,1,Joy To The World,Nat King Cole,
54,1,Frosty The Snowman,Ella Fitzgerald,
55,1,Jingle Bells,Frank Sinatra,https://p.scdn.co/mp3-preview/2ae2248a74976acc3b448162c7bfccaea05858a4?cid=9950ac751e34487dbbe027c4fd7f8e99
56,1,Bring Me Love,John Legend,https://p.scdn.co/mp3-preview/8c917e7e46683760efb90906960de7374aa9dace?cid=9950ac751e34487dbbe027c4fd7f8e99
57,1,Run Rudolph Run,Chuck Berry,
58,1,Cozy Little Christmas,Katy Perry,https://p.scdn.co/mp3-preview/3e466756394d262540692b0603c323cb22f339dd?cid=9950ac751e34487dbbe027c4fd7f8e99
59,1,Shake up Christmas,Train,
60,1,The Christmas Song (Merry Christmas To You),Nat King Cole,https://p.scdn.co/mp3-preview/d575ba7b971d97437e7a2c7eee31676ec7e99bcb?cid=9950ac751e34487dbbe027c4fd7f8e99
61,1,Here Comes Santa Claus (Right Down Santa Claus Lane),Elvis Presley,https://p.scdn.co/mp3-preview/9544732963c39f32a58f51e70337e929f41d1d47?cid=9950ac751e34487dbbe027c4fd7f8e99
62,1,Winter Wonderland,Hannah Kerr,
63,1,I'll Be Home,Meghan Trainor,https://p.scdn.co/mp3-preview/ef428f236ebcbccf633d2da2aa75235e908e941c?cid=9950ac751e34487dbbe027c4fd7f8e99
